@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {data/uniform_ah_18/1,data/uniform_ah_18/2}

@DATA
0.188137,0.018266,2.837323,0.286847,0.238915,1.750824,0.011333,0.333000,-30.989953,1.723319,-0.392311,-0.259631,-0.456921,-0.532136,-0.363849,-0.021546,0.055658,0.058342,0.000506,-0.025975,-0.022836,0.024657,0.010506,0.044333,0.006925,0.010606,0.016582,0.052446,0.002309,0.012684,0.014227,0.011967,0.013383,0.024027,0.060425,0.031647,0.605758,0.067129,0.043041,0.592516,0.007240,0.180839,6.258930,1.002604,0.677540,0.422706,0.402001,0.415510,0.332895,0.257679,0.172844,0.131132,0.190498,0.148317,0.179321,0.016141,0.008465,0.060602,0.003751,0.007108,0.029773,0.049606,0.003743,0.015573,0.009839,0.008244,0.014152,0.016351,data/uniform_ah_18/1
0.204344,0.011691,2.706916,0.304058,0.236671,1.775010,0.013796,0.374333,-32.404597,1.395963,-0.377165,-0.106915,-0.335779,-0.272905,-0.296259,-0.030520,0.045316,0.095244,0.074212,-0.018708,-0.084331,0.016771,0.005382,0.026298,0.008928,0.009926,0.003748,0.079285,0.002582,0.021038,0.014203,0.020405,0.007998,0.029331,0.084313,0.023461,0.792255,0.088099,0.050079,0.759567,0.010348,0.230158,6.160902,1.128453,0.867038,0.238275,0.415462,0.226182,0.305307,0.315278,0.212733,0.256575,0.257233,0.181571,0.126132,0.015618,0.006059,0.028710,0.011680,0.008799,0.002774,0.099031,0.004078,0.026817,0.017003,0.030017,0.011876,0.023923,data/uniform_ah_18/1
0.184962,0.017100,2.786939,0.306477,0.240744,1.666564,0.023604,0.387250,-30.970041,1.673433,0.081002,-0.189290,-0.184432,-0.198009,-0.277531,-0.220934,-0.278398,-0.339976,-0.145383,-0.204074,-0.238154,0.044121,0.003443,0.059543,0.024193,0.019420,0.008361,0.048321,0.006196,0.003929,0.004756,0.008913,0.005631,0.032671,0.091976,0.026114,0.754616,0.123841,0.045262,0.858728,0.038602,0.254482,5.532242,1.248191,0.700147,0.489498,0.288897,0.290239,0.308086,0.211740,0.240434,0.246828,0.319036,0.286792,0.365716,0.055490,0.003300,0.069772,0.041832,0.020414,0.009920,0.053614,0.011281,0.003877,0.003347,0.009036,0.007992,0.019203,data/uniform_ah_18/1
0.148754,0.021799,2.927863,0.247527,0.224224,1.325227,0.016003,0.253529,-29.842363,2.301872,0.092223,-0.020274,-0.023171,-0.158115,-0.362891,-0.267592,-0.241908,-0.317943,-0.140736,-0.304343,-0.273355,0.044538,0.004070,0.084083,0.028217,0.019343,0.016595,0.038435,0.008872,0.004623,0.004837,0.009887,0.003817,0.033785,0.073211,0.028381,0.516456,0.090335,0.048148,0.800390,0.013733,0.199276,5.725065,1.182440,0.704008,0.630623,0.443942,0.236056,0.379432,0.192190,0.169493,0.189328,0.329279,0.285279,0.322209,0.042268,0.006014,0.072950,0.038354,0.021419,0.018376,0.033859,0.018846,0.003932,0.003612,0.009286,0.005709,0.016665,data/uniform_ah_18/1
0.181565,0.014834,2.894503,0.270673,0.225409,1.598414,0.015025,0.296667,-31.854645,2.001227,-0.363396,-0.120527,-0.076675,-0.075706,-0.438449,-0.176464,-0.316378,-0.232784,-0.044012,-0.010151,-0.078074,0.029041,0.006789,0.021130,0.014752,0.024764,0.014575,0.035135,0.001726,0.007231,0.018408,0.035296,0.002953,0.023269,0.063915,0.027303,0.559708,0.075692,0.052207,0.640987,0.013785,0.135462,6.450637,1.114211,0.835247,0.461643,0.378673,0.385435,0.337445,0.351068,0.175249,0.168360,0.366781,0.171979,0.206025,0.043019,0.012857,0.026446,0.015602,0.024171,0.014020,0.036165,0.001208,0.006221,0.015912,0.039577,0.002446,0.011497,data/uniform_ah_18/1
0.165727,0.009145,3.033231,0.268003,0.234725,1.501833,0.018273,0.262000,-33.296528,2.013733,-0.192296,-0.102608,-0.364739,0.014508,-0.339891,-0.455714,-0.276106,-0.290377,-0.077268,-0.092812,-0.068437,0.019163,0.003134,0.020473,0.034358,0.046586,0.016974,0.027503,0.001185,0.007938,0.020460,0.022888,0.004387,0.025756,0.059938,0.012393,0.329816,0.043103,0.035569,0.614387,0.018021,0.134637,3.892482,0.526599,0.711761,0.401484,0.347278,0.378623,0.246256,0.246422,0.215641,0.181173,0.170758,0.196499,0.132380,0.027303,0.002762,0.029383,0.044268,0.039833,0.018119,0.019836,0.001096,0.006438,0.020568,0.019869,0.004106,0.014680,data/uniform_ah_18/1
0.295182,0.006455,2.951118,0.369557,0.249290,2.130597,0.008235,0.424847,-35.607850,0.993807,-0.126332,-0.345558,-0.370315,-0.333981,-0.249427,-0.122620,-0.064387,-0.141588,-0.228423,-0.125778,-0.118858,0.024003,0.004436,0.018337,0.014112,0.015189,0.009851,0.032376,0.002974,0.007071,0.010097,0.014972,0.013823,0.014753,0.110303,0.012344,0.376977,0.086336,0.035276,0.542743,0.004776,0.216002,5.291892,1.170897,0.688725,0.368573,0.235050,0.287164,0.278279,0.198103,0.191051,0.198327,0.239194,0.143885,0.196694,0.016733,0.003672,0.019458,0.016562,0.013779,0.008850,0.029567,0.003239,0.006553,0.009365,0.011053,0.019561,0.009509,data/uniform_ah_18/1
0.216198,0.012704,2.929876,0.296232,0.233033,1.778096,0.014412,0.345263,-32.814560,1.748756,-0.290710,-0.153676,-0.346667,-0.317113,-0.242355,-0.156058,-0.004563,-0.185082,-0.207355,-0.104800,-0.203070,0.032925,0.006943,0.016673,0.009787,0.017827,0.007235,0.021033,0.001546,0.004419,0.027842,0.034223,0.004480,0.019779,0.083317,0.025721,0.553975,0.088657,0.048605,0.804255,0.010693,0.165048,6.734293,1.142877,0.913981,0.369657,0.392525,0.290804,0.270282,0.260571,0.162093,0.202680,0.184267,0.168258,0.190139,0.031266,0.007099,0.016957,0.012650,0.011912,0.006994,0.021767,0.001449,0.005500,0.032556,0.034668,0.003222,0.009175,data/uniform_ah_18/1
0.217750,0.022943,3.104669,0.297023,0.219434,1.972149,0.017563,0.405000,-31.254491,1.642375,-0.626795,-0.182412,-0.255928,-0.121780,-0.352342,-0.118906,-0.153113,-0.173964,-0.139095,-0.304306,-0.319429,0.033920,0.008122,0.048160,0.016331,0.007681,0.008438,0.011470,0.002593,0.006483,0.004401,0.008983,0.023102,0.022111,0.103164,0.030844,0.295704,0.103915,0.048987,0.855384,0.016621,0.229802,6.459224,1.278535,0.855958,0.460256,0.349985,0.320145,0.327453,0.236831,0.195684,0.300513,0.239283,0.275675,0.379044,0.033423,0.013012,0.074654,0.024884,0.008166,0.006379,0.010977,0.002107,0.006544,0.004152,0.007372,0.026830,0.018891,data/uniform_ah_18/1
0.214564,0.017157,2.974656,0.295897,0.227304,1.951596,0.011773,0.384444,-31.066853,1.582711,-0.616978,-0.210303,-0.269936,-0.063891,-0.229359,-0.060295,-0.114374,-0.154265,-0.191212,-0.205307,-0.320821,0.049042,0.006876,0.037295,0.013020,0.008268,0.013743,0.011380,0.003312,0.004779,0.005816,0.019529,0.024683,0.021347,0.104495,0.027816,0.571088,0.089086,0.036480,0.791288,0.011171,0.213729,6.385518,1.060269,0.590338,0.354275,0.309645,0.311568,0.261631,0.215850,0.205886,0.282737,0.257790,0.291927,0.314537,0.045120,0.004957,0.048173,0.014637,0.006541,0.016043,0.010977,0.003552,0.003631,0.004024,0.022448,0.030340,0.015407,data/uniform_ah_18/1
0.150966,0.017997,2.989431,0.249900,0.224080,1.254435,0.020219,0.214412,-32.401290,2.382520,0.068754,-0.006543,-0.209145,-0.049237,-0.342359,-0.403800,-0.264137,-0.138431,-0.162256,0.013839,-0.008451,0.021907,0.002273,0.024814,0.024218,0.025734,0.025997,0.051324,0.003582,0.013522,0.013100,0.024710,0.002592,0.028544,0.067088,0.030918,0.431230,0.082922,0.054156,0.672798,0.015409,0.121811,7.067250,1.240868,0.852814,0.589329,0.328528,0.396868,0.189535,0.271953,0.241397,0.158574,0.159997,0.170942,0.177137,0.019999,0.002130,0.026310,0.027079,0.021258,0.039810,0.058880,0.009163,0.014097,0.014669,0.042505,0.002016,0.012308,data/uniform_ah_18/1
0.121333,0.017038,2.942970,0.233007,0.219100,1.077046,0.026314,0.183824,-32.086493,2.517259,-0.060746,-0.047050,-0.250258,-0.151948,-0.364258,-0.462042,-0.347067,-0.138990,-0.258743,0.052123,-0.055311,0.025016,0.001800,0.027201,0.026517,0.028970,0.026953,0.043503,0.003732,0.014346,0.017014,0.038007,0.002912,0.030477,0.048599,0.027404,0.404532,0.060429,0.055662,0.605220,0.029727,0.098973,6.786951,0.896528,0.942582,0.642077,0.468365,0.296925,0.241977,0.288168,0.222840,0.290347,0.236952,0.260811,0.169112,0.045110,0.001928,0.024923,0.035901,0.023337,0.032559,0.045057,0.008901,0.023738,0.019658,0.043484,0.003789,0.010381,data/uniform_ah_18/1
0.168804,0.010982,2.887212,0.291324,0.246621,1.511146,0.012870,0.291176,-31.837590,1.735800,-0.135263,-0.168528,-0.299200,-0.318499,-0.172947,-0.062197,-0.321149,-0.107146,-0.144462,-0.244183,-0.052536,0.033168,0.002991,0.055690,0.012430,0.020455,0.009024,0.017655,0.005224,0.016560,0.010694,0.021190,0.015138,0.024554,0.079231,0.019734,0.393562,0.071455,0.028574,0.678907,0.008002,0.186015,6.731344,0.861386,0.935188,0.658311,0.329982,0.268383,0.248754,0.265109,0.222668,0.212843,0.270805,0.138970,0.237276,0.040335,0.002309,0.062328,0.011656,0.016505,0.006405,0.017017,0.008937,0.023469,0.010238,0.023855,0.019555,0.014519,data/uniform_ah_18/1
0.182122,0.011491,2.803733,0.306121,0.246943,1.719250,0.010316,0.334722,-32.920726,1.706425,-0.261149,-0.266129,-0.245478,-0.232163,-0.121016,-0.172655,-0.319438,-0.154280,-0.134090,-0.228145,-0.134940,0.043979,0.009082,0.036930,0.021055,0.014572,0.009376,0.023725,0.008310,0.009012,0.008565,0.017854,0.004185,0.020544,0.083102,0.023698,0.602903,0.086287,0.034819,0.795359,0.008203,0.205821,6.500753,1.229653,0.796987,0.686043,0.473669,0.151387,0.188693,0.277125,0.181897,0.180932,0.260468,0.167447,0.186295,0.055571,0.015161,0.041138,0.021617,0.009349,0.007156,0.021694,0.012934,0.007281,0.005949,0.013896,0.002898,0.015042,data/uniform_ah_18/1
0.233166,0.006120,2.860582,0.322111,0.240001,2.155324,0.005944,0.406625,-34.042511,1.277166,-0.674607,-0.133386,-0.427440,0.028413,0.036604,-0.294675,-0.264070,-0.186002,-0.241820,-0.227362,-0.122578,0.020494,0.008475,0.017570,0.015856,0.020304,0.016305,0.022962,0.008639,0.007374,0.012803,0.011776,0.007141,0.010829,0.039857,0.013623,0.395822,0.037939,0.025802,0.354921,0.002892,0.092343,3.474635,0.533126,0.463094,0.397763,0.404232,0.159299,0.262023,0.137983,0.134910,0.198166,0.188147,0.155987,0.119909,0.009740,0.008110,0.011926,0.010136,0.010956,0.012145,0.014891,0.004787,0.005082,0.007955,0.007478,0.008452,0.004267,data/uniform_ah_18/1
0.205382,0.013096,2.928641,0.307936,0.237743,1.897574,0.012521,0.408947,-31.883061,1.607205,-0.511466,-0.586866,-0.482881,-0.244020,-0.099368,-0.372215,-0.123192,-0.369847,-0.203323,-0.149023,-0.052459,0.013603,0.009114,0.018383,0.015253,0.032790,0.020449,0.026039,0.003253,0.007553,0.010318,0.013910,0.013730,0.017318,0.074483,0.024935,0.313864,0.082315,0.044380,0.754988,0.011031,0.219405,6.183619,1.110785,0.862182,0.763859,0.462837,0.268772,0.260287,0.260460,0.281824,0.292997,0.211406,0.143961,0.156762,0.007025,0.008457,0.014444,0.011490,0.051426,0.023870,0.016255,0.002301,0.004819,0.008038,0.009200,0.026314,0.012091,data/uniform_ah_18/1
0.199875,0.016507,2.989162,0.305154,0.248529,1.887865,0.009312,0.377500,-30.676916,1.675034,-0.293575,-0.414330,-0.203298,-0.058790,-0.049977,-0.218157,-0.096990,-0.339389,-0.329229,-0.028855,-0.225511,0.021096,0.010489,0.040843,0.023707,0.029022,0.008613,0.035791,0.006537,0.009351,0.007147,0.009919,0.004264,0.021646,0.085725,0.028288,0.382129,0.069328,0.028420,0.606683,0.006127,0.189877,6.492205,0.858624,0.509516,0.361224,0.386103,0.316993,0.280710,0.190319,0.247075,0.270609,0.258303,0.199249,0.192160,0.013922,0.014802,0.023819,0.031222,0.025233,0.009053,0.046555,0.009241,0.011709,0.004319,0.007582,0.004983,0.009596,data/uniform_ah_18/1
0.187233,0.018765,3.085178,0.321182,0.251838,2.042651,0.009368,0.451176,-30.344877,1.638023,-0.245272,-0.437946,-0.402988,-0.148802,-0.023711,-0.140612,-0.085097,-0.435145,-0.196956,-0.139086,-0.176427,0.038182,0.006647,0.027447,0.010321,0.023846,0.016507,0.022226,0.003983,0.005482,0.007249,0.020195,0.005774,0.017079,0.058416,0.031416,0.254055,0.084395,0.034496,0.719249,0.006933,0.227147,6.190945,1.071413,0.485746,0.492641,0.312801,0.339959,0.493534,0.284483,0.270724,0.312459,0.246896,0.190894,0.151857,0.023725,0.005599,0.016784,0.009684,0.020855,0.022350,0.018690,0.004325,0.003851,0.006527,0.022966,0.004153,0.006680,data/uniform_ah_18/1
0.206965,0.010197,2.953541,0.295433,0.229145,1.916072,0.011870,0.420526,-31.454591,1.771817,-0.494062,-0.282730,-0.519914,-0.176075,-0.263497,-0.217488,-0.156000,0.010517,-0.196939,-0.141228,-0.142812,0.033009,0.008443,0.022507,0.006646,0.018497,0.009701,0.031825,0.010043,0.010810,0.022322,0.016717,0.008631,0.018246,0.087952,0.017461,0.294211,0.099770,0.050940,0.825746,0.010543,0.243737,5.957682,1.247357,0.747680,0.403613,0.382967,0.345193,0.255211,0.243395,0.249627,0.138363,0.170094,0.227997,0.238067,0.029784,0.006359,0.016007,0.006909,0.012269,0.010059,0.030653,0.017054,0.010289,0.033424,0.015926,0.010909,0.009415,data/uniform_ah_18/1
0.171540,0.010187,2.939573,0.268165,0.221536,1.676566,0.012708,0.331944,-30.426199,2.081339,-0.559638,-0.249594,-0.313721,-0.052999,-0.156955,-0.192520,-0.267253,-0.018784,-0.124145,-0.146002,-0.188050,0.028835,0.005441,0.028051,0.007385,0.016772,0.009570,0.052584,0.006890,0.007527,0.019592,0.025622,0.008149,0.023770,0.077973,0.016551,0.493447,0.086049,0.048878,0.716754,0.009283,0.215472,5.741606,1.188504,0.729193,0.462460,0.332323,0.279469,0.273100,0.179342,0.313558,0.207264,0.165453,0.187964,0.214164,0.028879,0.005136,0.034964,0.007364,0.013688,0.010653,0.055058,0.011095,0.006028,0.021386,0.029077,0.013209,0.013497,data/uniform_ah_18/1
0.223953,0.033271,2.577951,0.330297,0.260959,1.722027,0.015251,0.403214,-31.460674,1.202586,0.276426,-0.287814,-0.596936,-0.240205,-0.209459,0.024274,-0.132179,-0.038835,-0.021353,-0.082345,-0.151348,0.022949,0.004494,0.049293,0.005657,0.011490,0.005857,0.067072,0.001060,0.007171,0.017940,0.014469,0.005931,0.028700,0.112226,0.080696,0.820375,0.092464,0.035777,0.898918,0.014217,0.272302,5.347068,1.030689,0.517045,0.302871,0.547800,0.285904,0.275097,0.231717,0.158017,0.220409,0.153975,0.159450,0.253346,0.028404,0.006328,0.054862,0.006227,0.010669,0.006516,0.077725,0.000912,0.014291,0.036517,0.013337,0.007564,0.021955,data/uniform_ah_18/2
